TA2ID;English
345;Metatarsal region
346;Hallucial eminence
347;Regions of digits of foot
348;Plantar surfaces of digits of foot
349;Dorsal surfaces of digits of foot
350;Interdigital spaces of foot
351;Musculoskeletal systems
352;Skeletal system
353;Axial skeleton
354;Neurocranium
355;Viscerocranium
356;Facial bones
357;Chondrocranium
358;Desmocranium
359;Appendicular skeleton
360;Skeleton of upper limbs
361;Pectoral girdle
362;Skeleton of free upper limb
363;Skeleton of lower limbs
364;Pelvic girdle
365;Skeleton of free lower limb
366;Bones
367;Membranous bone
368;Endochondral bone
369;Long bone
370;Short bone
371;Flat bone
372;Irregular bone
373;Pneumatised bone
374;Sesamoid bone
375;(Accessory bone)
376;(Supernumerary bone)
377;Bone
378;Bony part of bone
379;Compact bone
380;Spongy bone
381;Cartilaginous part of bone
382;Articular cartilage
383;Membranous part of bone
384;Periosteum
385;Perichondrium
386;Medullary cavity
387;Endosteum
388;Bone marrow
389;Yellow bone marrow
390;Red bone marrow
391;Diaphysis
392;Metaphysis
393;Epiphysis
394;Epiphysial cartilage
395;Epiphysial plate
396;Epiphysial line
397;Apophysis
398;Articular surface
399;Articular fossa
400;(Articular head)
401;Nutrient foramen
402;Nutrient canal
403;Ossification centres
404;Primary ossification centre
405;Secondary ossification centre
406;Cranium
407;Frontal aspect of cranium
408;Superior aspect of cranium
409;Occipital aspect of cranium
410;Lateral aspect of cranium
411;Inferior aspect of cranium
412;Pericranium
413;Cranial cavity (part of skeletal system)
414;Forehead of cranium
415;Occiput of cranium
416;Vertex of cranium
417;Nasion
418;Bregma
419;Lambda
420;Inion
421;Pterion
422;Asterion
423;Porion
424;Basion
425;Opisthion
426;Temporal fossa
427;Zygomatic arch
428;Infratemporal fossa
429;Pterygopalatine fossa
430;Pterygomaxillary fissure
431;Fontanelles
432;Anterior fontanelle
433;Posterior fontanelle
434;Sphenoidal fontanelle
435;Mastoid fontanelle
436;Calvaria
437;External table of calvaria
438;Diploe
439;Diploic canals
440;Internal table of calvaria
441;Groove for superior sagittal sinus
442;Granular foveolae
443;Impressions of cerebral gyri
444;Eminences of cerebral sulci
445;Venous grooves
446;Arterial grooves
447;Cranial base
448;Internal surface of cranial base
449;Sphenopetrosal fissure
450;Petro-occipital fissure
451;Anterior cranial fossa
452;Middle cranial fossa
453;Posterior cranial fossa
454;Clivus
455;Groove for inferior pertrosal sinus
456;Groove for sigmoid sinus
457;External surface of cranial base
458;Jugular foramen
459;Foramen lacerum
460;(Sphenotemporal foramen)
461;Bony palate
462;Greater palatine canal
463;Greater palatine foramen
464;Incisive fossa
465;(Palatine torus)
466;Palatovaginal canal
467;Vomerovaginal canal
468;Vomerorostral canal
469;Orbit
470;Periorbita
471;Orbital septum
472;Orbital cavity
473;Orbital opening
474;Orbital margin
475;Supra-orbital margin
476;Infra-orbital margin
477;Lateral margin of orbit
478;Medial margin of orbit
479;Roof of orbit
480;Floor of orbit
481;Lateral wall of orbit
482;(Cranio-orbital foramen)
483;Medial wall of orbit
484;Anterior ethmoidal foramen
485;Posterior ethmoidal foramen
486;Fossa for lacrimal sac
487;Apex of orbit
488;Superior orbital fissure
489;Inferior orbital fissure
490;Nasolacrimal canal
491;Bony part of nasal septum
492;Nasal cavity of cranium
493;Piriform aperture
494;Superior nasal meatus of cranium
495;Middle nasal meatus of cranium
496;Inferior nasal meatus of cranium
497;Opening of nasolacrimal canal
498;Common nasal meatus of cranium
499;Spheno-ethmoidal recess of cranium
500;Nasopharyngeal meatus of cranium
501;Choana of cranium
502;Sphenopalatine foramen
503;Bones of cranium
504;Parietal bone
505;Internal surface of parietal bone
506;Groove for middle meningeal artery
507;External surface of parietal bone
508;Superior temporal line
509;Inferior temporal line
510;Parietal eminence
511;Occipital border of parietal bone
512;Squamosal border of parietal bone
513;Sagittal border of parietal bone
514;Frontal border of parietal bone
515;Frontal angle of parietal bone
516;Occipital angle of parietal bone
517;Sphenoidal angle of parietal bone
518;Mastoid angle of parietal bone
519;Parietal foramen
520;Frontal bone
521;Squamous part of frontal bone
522;External surface of squamous part of frontal bone
523;Frontal eminence
524;Superciliary arch
525;Glabella
526;Frontal part of orbital margin
527;Supra-orbital foramen
528;(Supra-orbital notch)
529;(Frontal notch)
530;(Frontal foramen)
531;Temporal surface of frontal bone
532;Parietal margin of frontal bone
533;Temporal line
534;Zygomatic process of frontal bone
535;Internal surface of squamous part of frontal bone
536;Frontal crest
537;Foramen caecum of frontal bone
538;Nasal part of frontal bone
539;Nasal spine of frontal bone
540;Nasal margin of frontal bone
541;Orbital part of frontal bone
542;Orbital plate of frontal bone
543;Orbital surface of frontal bone
544;(Trochlear spine)
545;Trochlear fovea
546;Fossa for lacrimal gland
547;Sphenoidal margin of frontal bone
548;Ethmoidal notch
549;Sinus of frontal bone
550;Opening of frontal sinus
551;Septum of frontal sinuses
552;Occipital bone
553;Foramen magnum
554;Basilar part of occipital bone
555;Pharyngeal tubercle
556;Lateral part of occipital bone
557;Occipital condyle
558;Condylar canal
559;Hypoglossal canal
560;Condylar fossa
561;Jugular tubercle
562;Jugular notch of occipital bone
563;Jugular process
564;Intrajugular process of occipital bone
565;Squamous part of occipital bone
566;Mastoid border of occipital bone
567;Lambdoidal border of occipital bone
568;External occipital protuberance
569;(External occipital crest)
570;Supreme nuchal line
571;Superior nuchal line
572;Inferior nuchal line
573;Occipital plane
574;Cruciform eminence
575;Internal occipital protuberance
576;(Internal occipital crest)
577;Groove for transverse sinus
578;Groove for occipital sinus
579;Groove for marginal sinus
580;(Paramastoid process)
581;Cerebral fossa
582;Cerebellar fossa
583;(Vermian fossa)
584;Sphenoid bone
585;Body of sphenoid bone
586;Sphenoidal yoke
587;Limbus of sphenoid
588;Chiasmatic sulcus
589;Sella turcica
590;Tuberculum sellae
591;(Middle clinoid process)
592;Hypophysial fossa
593;(Craniopharyngeal canal)
594;Dorsum sellae
595;Posterior clinoid process
596;Carotid sulcus
597;Sphenoidal lingula
598;Sphenoidal crest
599;Sphenoidal rostrum
600;Sinus of sphenoid bone
601;Opening of sinus of sphenoid bone
602;Septum of sphenoidal sinuses
603;Sphenoidal concha
604;Lesser wing
605;Optic canal
606;Infra-optic tubercle
607;Anterior clinoid process
608;(Caroticoclinoid foramen)
609;Crista alaris
610;Greater wing
611;Cerebral surface of greater wing
612;Temporal surface of greater wing
613;Infratemporal surface of greater wing
614;Infratemporal crest
615;Maxillary surface of greater wing
616;Orbital surface of greater wing
617;Zygomatic margin of greater wing
618;Frontal margin of greater wing
619;Parietal margin of greater wing
620;Squamosal margin of greater wing
621;Foramen rotundum
622;Foramen ovale
623;(Sphenoidal emissary foramen)
624;Foramen spinosum
625;(Foramen petrosum)
626;Spine of sphenoid bone
627;Sulcus of auditory tube
628;Pterygoid process
629;Lateral pterygoid plate
630;Medial pterygoid plate
631;Pterygoid notch
632;Pterygoid fossa
633;Scaphoid fossa
634;Vaginal process of sphenoid bone
635;Palatovaginal groove
636;Vomerovaginal groove
637;Pterygoid hamulus
638;Groove of pterygoid hamulus
639;Pterygoid canal
640;Pterygospinous process
641;Temporal bone
642;Petrous part of temporal bone
643;Occipital margin of temporal bone
644;Mastoid process
645;Mastoid antrum
646;Mastoid cells
647;Mastoid notch
